Unnamed: 0	제목	가수	가사
10	보고싶었어	WSG워너비 (4FIRE)	"너를 정말 사랑했나 봐 아직도 널 못 잊었나 봐 자꾸만 생각나

시간은 왜 자꾸 나에게 아픈 기억은 다 지우고 좋은 추억만 남아

우 함께 울고 웃던 계절에 다시 만난다면

보고싶었어 사랑했던 그때의 너와
니 곁에 그리고 나 널 바라만 봐도 눈물 나게

마냥 좋았어 너에게 못다 한 그 말
조금은 늦었겠지만 아직 널 사랑한다고 말야

라라라 라라라라랄랄라 라라라라랄랄라
보고싶었어

라라라 라라라라랄랄라 라라라라랄랄라
너도 내 맘 같기를

그땐 정말 어렸었나봐 사랑을 잘 몰랐었나 봐
그게 마음이 아파

우 오늘처럼 눈부신 날에 다시 만난다면

보고싶었어 사랑했던 그때의 너와
니 곁에 그리고 나 널 바라만 봐도 눈물 나게

마냥 좋았어 너에게 못다 한 그 말
조금은 늦었겠지만 (늦었겠지만) 아직 널 사랑한다고

꽃 피는 봄이 온 것처럼
당연한 듯 내곁에 머물 줄만 알았어 (항상)

주는 게 사랑이란 걸 그때야 난 깨달았어
니가 떠난 후에야

나 너에게 참 고마웠다고 벅차 행복했다고
사랑을 가르쳐 준 니가 참

보고싶었어 (보고싶었어) 너에게 듣고 싶은 말
아직 늦지 않았다고 (늦지 않았다고) 너도 날 기다렸다고 말야

라라라 라라라라랄랄라 라라라라랄랄라
보고싶었어 (Baby can you call me now)
라라라 라라라라랄랄라 라라라라랄랄라

너도 내 맘 같기를"
11	그라데이션	10CM	"밤은 다시 길고 깊어졌네
나는 점점 너로 잠 못 들게 돼
글로 적어내긴 어려운 이 기분을
너도 느꼈으면 좋겠는데
너는 아무 생각 없이 몇 번
나를 지나가며 웃은 거라지만
나의 하얀 옷에 너의 잉크가 묻어
닦아낼 수 없을 만큼 번졌네
달콤한 색감이 물들어 조금씩
정신을 차렸을 땐 알아볼 수도 없지
가득 찬 마음이 여물다 못해
터지고 있어
내일은 말을 걸어봐야지
요즘 노랜 뭔가 맘에 안 들어
네게 불러 주기엔 좀 어려워서
나름 며칠 밤을 새워 연습했지만
네게 들려주기엔 무리인 것 같아
너는 번질수록 진해져 가고
나의 밤은 좀 더 길고 외롭지만
하루종일 떠오르는 너의 얼굴은
방을 가득 채워 무지개같이
달콤한 색감이 물들어 조금씩
정신을 차렸을 땐 알아볼 수도 없지
가득 찬 마음이 여물다 못해
터지고 있어
내일은 말을 걸어봐야지
바람을 맞고 빗물에 젖어
나의 색감도 흐려지겠지만
너는 항상 빛에 반짝일 테니까
멋진 말들을 전하지 못하고
아무도 관심 없는 그림이 되겠지만
달콤한 색감은 감추지 못해
터지고 있어
내일은 말을 걸어봐야지
그냥 이 노래가 어떨까 싶어"
12	TOMBOY	(여자)아이들	"Look at you 넌 못 감당해 날
Ya took off hook
기분은 Coke like brrr
Look at my toe 나의 Ex 이름 Tattoo
I got to drink up now 네가 싫다 해도 좋아

Why are you cranky, boy?
뭘 그리 찡그려 너
Do you want a blond barbie doll?
It’s not here, I’m not a doll

미친 연이라 말해 What’s the loss to me ya
사정없이 까보라고 You’ll lose to me ya
사랑 그깟 거 따위 내 몸에 상처 하나도 어림없지
너의 썩은 내 나는 향수나 뿌릴 바엔

Ye I’m a Tomboy (Umm ah umm)
Ye I’ll be the Tomboy (Umm ah)
This is my attitude
Ye I’ll be the Tomboy

I don’t wanna play this ping pong
I would rather film a Tik Tok
Your mom raised you as a prince
But this is queendom, right?
I like dancing, I love ma friends
Sometimes we swear without cigarettes
I like to eh on drinking whiskey
I won’t change it, what the hell?

미친 척이라 말해 What’s the loss to me ya
사정없이 씹으라고 You’re lost to me ya
사랑 그깟 거 따위 내 눈에 눈물 한 방울 어림없지
너의 하찮은 말에 미소나 지을 바엔

Ye I’m a Tomboy (Umm ah umm)
Ye I’ll be the Tomboy (Umm ah)
This is my attitude
Ye I’ll be the Tomboy

Said you get it?
You get the song right, you’ll get what I mean “Tomboy”

La la la la la la la la la
La la la la la la la la la

La la la la la la la la la
La la la la la la la la la
(Three, two, one)

It’s neither man nor woman
Man nor woman
It’s neither man nor woman
(Just me I-DLE)

It’s neither man nor woman
Man nor woman
It’s neither man nor woman
(Just me loving Tomboy)"
13	SNEAKERS	ITZY (있지)	"Yeah yeah
Let’s go
Like what?
자유로운 기분 I like that
고민 따윈 already done, done
색안경 끼고 보는 게 죄지
That's not my fault woah
Told ya I don't care at all
내 멋대로 갈 거야
필요 없어 order
Don't need no guidance
I'm makin' my way
I'm on my way up
Run to the top
난 언제든 straight up
원래 두려운 게 없어 난
상관없어 call me trouble
or you can call me weirdo
나로 살고 싶어
턱 끝을 치켜올린 채로
다 가질 듯한 attitude 그거면 돼
Put my sneakers on
하나 둘 ready, get set, go
Put my sneakers on
Put 'em up, put 'em up
Put my sneakers on
하나 둘 ready, get set, go
멀리 가보자고 ya ya
Put 'em up, put 'em up
기다리던 순간 stand up, stand up
빨리 뛰는 심장 don't stop, don't stop
Get loose 불태워 지금 my youth
The party ain't started
시작도 안 했어 난
요즘 꽂힌 말이 하나 있지
My best is yet to come
상관없어 call me trouble
or you can call me weirdo
나로 살고 싶어
턱 끝을 치켜올린 채로
다 가질 듯한 attitude 그거면 돼
Put my sneakers on
하나 둘 ready, get set, go
Put my sneakers on
Put 'em up, put 'em up
Put my sneakers on
하나 둘 ready, get set, go
멀리 가보자고 ya ya
Put 'em up, put 'em up
자유롭게 뛰고 싶어 다른 사람
시선들 don't care now
어디까지 가게 될지 모르지만
일단은 start right now
Yeah alright
멈추지 마 to the top
Don’t worry about it cuz you know I
Put my sneakers on
상관없어 call me trouble
or you can call me weirdo
나로 살고 싶어
턱 끝을 치켜 올린 채로
다 가질 듯한 attitude 그거면 돼
You better put your sneakers on
Put my sneakers on
하나 둘 ready, get set, go
Put my sneakers on
Put 'em up, put 'em up
Put my sneakers on
하나 둘 ready, get set, go
멀리 가보자고 ya ya
Put 'em up, put 'em up
자유롭게 뛰고 싶어 다른 사람
시선들 don't care now
어디까지 가게 될지 모르지만
일단은 start right now
Yeah alright
멈추지 마 to the top
같이 걸어 가보자고
Put 'em up, put 'em up"
14	사랑인가 봐	멜로망스	"너와 함께 하고 싶은 일들을
상상하는 게
요즘 내 일상이 되고
너의 즐거워하는 모습을 보고 있으면
자연스레 따라 웃고 있는 걸
너의 행동에 설레어하고 뒤척이다가
지새운 밤이 많아지는데
이건 누가 봐도 사랑일 텐데
종일 함께면 질릴 텐데
나 돌아서도 온통 너인 건
아무래도 사랑인가 봐
점점 너와 하고 싶은 일들 생각하면서
하룰 보낸 날이 많아지는데
이건 누가 봐도 사랑일 텐데
종일 함께면 질릴 텐데
나 돌아서도 온통 너인 건
아무래도 사랑인가 봐
너의 행복해하는 모습을 보고 있으면
나도 모르게 따라 웃는데
이 정도면 알아줄 만하잖아
너도 용기 낼만 하잖아
나만 이런 게 아니라면
우리 만나볼 만하잖아
아무래도 사랑인가 봐"
15	LAW (Prod. Czaer)	윤미래, 비비 (BIBI)	"look at my lips
look at my hips
look at me slaying
this whole world
look at me kissin
look at me kickin
이건 바로 사랑과전쟁
look at my lips
look at my hips
look at me slaying
this whole world
look at me kissin
look at me kickin
우린 바로 전사 hear me roar
맘을 열어라
고개를 들어라
몸을 데워라
가서 조져라
imma break it down
like only i can do
bishes talk sht
but they never come thru
when i come thru
best believe it’s over
wanna be around me
but they get the cold shoulder
don’t make me say it
cuz i already told ya
i’m the baddest chick
i done already showed ya
On my way to the top
mad cuz you not
my song in the number 1 spot
who’s hot
니가 뭘 알어
니가 뭐를 알어
내가 움직이기 시작하면
전부 입 닫어
다시 벌어지게 될거니까
니 눈 코입 어깨 발 무릎 발
look at my lips
look at my hips
look at me slaying
this whole world
look at me kissin
look at me kickin
이건 바로 사랑과전쟁
look at my lips
look at my hips
look at me slaying
this whole world
look at me kissin
look at me kickin
이건 바로 사랑과전쟁
맘을 열어라
고개를 들어라
몸을 데워라
가서 조져라
나 운율의 시라소니 마누라
관자놀이 를 밝히는 아우라
허리 밑에 손들은 잿가루가 될 테니
위로 들어 흔들어 다 나와 놀아
다같이 나눠 가져 지금의 짜릿함
모두가 하나되는 아릿다움 ( ) 담
자 이제부터 미래가 시작된 다음
펼쳐져 갇혀 있던 너의 속마음
니가 뭘 알어
니가 뭐를 알어
내가 움직이기 시작하면
전부 입닫어
다시 벌어지게 될거니까
니 눈 코입 어깨 발 무릎 발
look at my lips
look at my hips
look at me slaying
this whole world
look at me kissin
look at me kickin
이건 바로 사랑과전쟁
look at my lips
look at my hips
look at me slaying
this whole world
look at me kissin
look at me kickin
우린 바로 전사 hear me roar
i dropin it i killin it
모르면 외워
gotta get crazy
gotta get hazy
drum and bass를 채워
생각따위 집어쳐
니 몸이 가는대로 move it
내 step by step
세상을 움직이는 매직
break it down like
on your mark
get ready
go
look at my lips
look at my hips
look at me slaying
this whole world
look at me kissin
look at me kickin
이건 바로 사랑과전쟁
look at my lips
look at my hips
look at me slaying
this whole world
look at me kissin
look at me kickin
우린 바로 전사 hear me roar
맘을 열어라
고개를 들어라
몸을 데워라
가서 조져라"
16	정이라고 하자 (Feat. 10CM)	BIG Naughty (서동현)	"Back to the day
갓 10대가 됐을 때
그때 내가 널 보지 못했다면
어땠을까 해
왜인지 외로워지는 밤에 You say
흐린 추억 속에 네게 안겨 잠드네
Yeah 친구들과의 술자리
나는 또 네 얘기를 꺼내
보고 싶다는 넋두리에
친구들 답은 뻔해
10년도 더 된 애를 사랑할 수 있냬
이제 그만 잊으래
근데 그게 잘 안돼
그래 걔 말마따나
넌 아담의 사과일 수도
But 난 신을 안 믿으니까
네 전화 바로 픽업
지금 주소 찍어
어디든 상관없어 다 갈 테니까
그건 사랑이 아냐
그건 미련이 아냐
그냥 정이라고 하자
임마 네가 뭘 알아
이건 사랑이 맞아
분명 약속했단 말이야
I know I’m wrong
그 자리에 그대로
두고 온 기억들을
더듬고 있을 때면
You say
그건 사랑이 아냐
그건 미련이 아냐
그냥 정리하고 가자
아메리카노보단 라떼를
맛있게 내리던 네 집 앞 카페를
매일 같이 갔었었던 그때를
내려줄게 쓰지 않아 이제는
넌 매일 밤 예뻐 예뻐
해주며 날 재워 재워
식어버린 널 데워 태워
꿈에서 날 깨워 줘
버려진 기억들 속에서
쓸만한 컷들을 찾고 있어
이미 내 곁에 더는 없는 너지만
난 너를 느낄 수 있어
닿을 듯 안 닿을 듯
떠나는 뒷모습이
왜인지 행복해 보여
너라도 행복해줘
그건 사랑이 아냐
그건 미련이 아냐
그냥 정이라고 하자
임마 네가 뭘 알아
이건 사랑이 맞아
분명 약속했단 말이야
I know I’m wrong
그 자리에 그대로
두고 온 기억들을
더듬고 있을 때면
You say
그건 사랑이 아냐
그건 미련이 아냐
그냥 정리하고 가자
그건 사랑이 아냐
그건 미련이 아냐
그냥 정이라고 하자
임마 네 말이 맞아
이건 사랑이 아냐
그냥 정리하고 가자"
17	나의 X에게	경서	"우리 다시 만날래
예쁘게 빛나던
모든 추억들이
너무 그리워
너의 품에 안길래
이 밤이 새도록
네게 말할 거야
너를 좋아한다고
안녕 그대야
요즘 어떻게 지내
가로수길 걷다가
생각이 나서
행복해 보이는 사람들 속에
우리 둘만 없어서
어색했었어
늘 집에 갈 땐
항상 뒤돌아보면
날 보며 웃어주던
네가 생각났어
우리 다시 만날래
예쁘게 빛나던
모든 추억들이
너무 그리워
너의 품에 안길래
이 밤이 새도록
네게 말할 거야
너를 좋아한다고
토요일마다 가던
한강공원에
이어폰 하나씩
나눠끼고서
벚꽃엔딩같이 듣고 있으면
부러울 게 없었어
너만 있으면
널 사랑할 때
내가 너무 그리워
날 보며 웃어주던
네가 보고 싶어
우리 다시 만날래
예쁘게 빛나던
모든 추억들이
너무 그리워
너의 품에 안길래
이 밤이 새도록
네게 말할 거야
너를 좋아한다고
같이 별 보러 갈래
널 다시 만나면
네 옆에 기대서
잠들고 싶어
너의 품에 안길래
이 밤이 새도록
내 곁에 있어줘
내겐 너뿐이라고"
18	내가 아니라도	주호	"사랑이었다 별거 없던 내 하루에
빛이 돼준 단한 사람
나보다 나를 더 아껴 주던 너를
그땐 왜 몰랐을까
행복이었다 다시는 없을 것 같던
잠시나마 행복했었다
다른 사람 곁에 있는 널
생각해 본 적 없지만
이젠 너를 보내줘야 할 것 같아
내가 아니라도
눈부시게 사랑받았을 너라서
그 소중한 시간을 나와 함께해 줘서
고마웠어
예쁘고 아름다웠던 너의 그날에
함께했던 그 모든 순간이 행복했어
내 전부였다 무엇도 바꿀 수 없던
우리라서 행복했었다
다른 누구라도
나보다 더 좋은 사람 만나서
이젠 나를 잊고 행복하게 살아
내가 아니라도
눈부시게 사랑받았을 너라서
그 소중한 시간을 나와 함께해 줘서
고마웠어
예쁘고 아름다웠던 너의 그날에
함께했던 그 모든 순간이 행복했어
어두웠던 내 하루에
빛이 되어주던 그날들을
어떻게 잊고 살아
과분했던 너라는 사람을 만나
누구보다 사랑했었다
내가 아니었다면
눈부시게 사랑받았을 너란 걸
이 세상에 누구보다 더 잘 알아서
미안했어 너와 함께한 날들이
더 말할 게 있을까
행복한 기억만 가져갈게"
19	사랑은 늘 도망가	임영웅	"눈물이 난다 이 길을 걸으면
그 사람 손길이 자꾸 생각이 난다
붙잡지 못하고 가슴만 떨었지
내 아름답던 사람아
사랑이란 게 참 쓰린 거더라
잡으려 할수록 더 멀어지더라
이별이란 게 참 쉬운 거더라
내 잊지 못할 사람아
사랑아 왜 도망가
수줍은 아이처럼
행여 놓아버릴까 봐
꼭 움켜쥐지만
그리움이 쫓아 사랑은 늘 도망가
잠시 쉬어가면 좋을 텐데
바람이 분다 옷깃을 세워도
차가운 이별의 눈물이 차올라
잊지 못해서 가슴에 사무친
내 소중했던 사람아
사랑아 왜 도망가
수줍은 아이처럼
행여 놓아버릴까 봐
꼭 움켜쥐지만
그리움이 쫓아 사랑은 늘 도망가
잠시 쉬어가면 좋을 텐데
기다림도 애태움도 다 버려야 하는데
무얼 찾아 이 길을 서성일까
무얼 찾아 여기 있나
사랑아 왜 도망가
수줍은 아이처럼
행여 놓아버릴까 봐
꼭 움켜쥐지만
그리움이 쫓아 사랑은 늘 도망가
잠시 쉬어가면 좋을 텐데
잠시 쉬어가면 좋을 텐데"
20	That That (prod. & feat. SUGA of BTS)	싸이 (PSY)	"20 22
PSY Coming back (이리 오너라)

Long time no see huh?
오래간만이지 huh?
우리 다시 웃고 울고 지지고 볶고
Let’s get loco

Pandemic's over uh
그래 기분이 오져 uh
다시 그분이 오죠 uh
Everybody say

뻑적지근해
걸쩍지근해
시끌벅적거리네
너무 좋아 북적거리네
동서남북 Aye
강남강북 Aye
싹 다 모여 Throw yo hands in the air
I say yeah

Can you feel it?
Can you feel it?
Oh oh woo yeah Oh woo oh

Can you feel it?
Can you feel it?
Oh oh woo yeah Ah

준비하시고 (Go) 쏘세요 (Oh)
That that I like that (Like that)
기분 좋아 Babe (Babe)
흔들어 좌 우 위 아래로 (Sing it)
One two three to the four (Sing it)

That that I like that
That that I like that babe
That that I like that
It’s like that that yo

That that I like that
That that I like that babe
That that I like that
It’s like that

야 내가 뭐 하는 사람인지 까먹었지?
That that I like that (Like that)
시간이 지나도 변함없이
That that I like that (Like that)
I don't care I don't care that I like that
That that I like that (Like that)
내가 바라보고 바라왔던 사람들아
모두 다 Ready set go
되려 늘어난 맷집 때리던 분이 불편하겠지
너네 바람대로 망할 거라 고사 지낸
사람들을 모아다가 가볍게 때찌
적당히 하라고 Oh oh oh
그냥 닥치고 다 같이 놀아보자고 Oh oh oh
민윤기와 박재상

Can you feel it?
Can you feel it?
Oh oh woo yeah Oh woo oh

Can you feel it?
Can you feel it?
Oh oh woo yeah Ah

준비하시고 (Go) 쏘세요 (Oh)
That that I like that (Like that)
기분 좋아 Babe (Babe)
흔들어 좌 우 위 아래로 (Sing it)
One two three to the four (Sing it)

That that I like that
That that I like that babe
That that I like that
It’s like that that yo

That that I like that
That that I like that babe
That that I like that
It’s like that that yo

Do what you wanna
Say what you wanna
Do what you wanna (Say what?)
That that I like that babe

Do what you wanna
Say what you wanna
Do what you wanna (Say what?)
That that I like that babe
That that I like that"
21	POP!	나연 (TWICE)	"What's wrong?
홀릴 듯이 난 너를 자극해 (Pop pop pop)
Watch out!
설렌 듯이 네 부푼 맘이 터질 듯해 (Pop pop pop)
(Let’s start) 내 맘대로 Play it
(Won’t stop) 거침없이 Shake it
You know? 넌 내게 달려있단 것만 알아둬

이미 넌 나를 벗어날 수가 없어
떨린 그 눈빛, 티 나는 몸짓 Baby
터뜨리고 싶은 너

설렘이 멎기 전에
I wanna make it
Pop pop pop, you want it
Pop pop pop 터지길 원해

가슴이 뛰는 이 느낌
I wanna make it
Pop pop pop, you want it
Pop pop pop 널 갖길 원해

Pop pop pop (Uh uh)
(You want it)
Pop pop pop (Uh uh)
(I got it)
Pop pop pop (Uh uh)
Pop pop pop

너무 잘 보여 아무리 숨겨도
이미 들킨 걸 자꾸 둥둥 떠다니잖아
여유롭게 Check it
보란 듯이 Take it
(Baby) Baby you’re out of control
So you’re under my control

설렘이 멎기 전에
I wanna make it
Pop pop pop, you want it
Pop pop pop 터지길 원해

가슴이 뛰는 이 느낌
I wanna make it
Pop pop pop, you want it
Pop pop pop 널 갖길 원해

Pop pop pop (Uh uh)
(You want it)
Pop pop pop (Uh uh)
(I got it)
Pop pop pop (Uh uh)
Pop pop pop

Pop pop 버블같이 터져 버릴지 몰라
끝도 없이 점점 부풀어 가
내게 푹 빠진 너를 애써 참진 마
Bae bae eyes on me now
내가 터뜨려 줄 테니

Five! 자, 때가 됐어
Four! 딱 숨을 멈춰
Three! 난 너를 겨눠
Two! One! Here we go!

설렘이 멎기 전에
I wanna make it
Pop pop pop, you want it
Pop pop pop 터지길 원해

가슴이 뛰는 이 느낌
I wanna make it
Pop pop pop, you want it
Pop pop pop 널 갖길 원해

Pop pop pop (Uh uh)
Pop pop pop (You gotta pop it)
Pop pop pop (I can’t stop it)
Pop pop pop"
22	해요 (2022)	#안녕	"그녀와 나는요 그땐 참 어렸어요
많이 사랑했고 때론 많이 다퉜었죠
지금 생각하면 모두 내 잘못이죠
마지막 그날도 그녀는 울었어
나는 그녈 잡지 못했죠
지금까지도 너무 후회가 돼요
그 후로 누굴 사랑한 적 없어 아직은
그녀와 나는요
언젠가 만날 거죠
변해버린 모습 변해버린 시간 속에
하지만 괜찮아 내 눈엔 아름답던
예전 모습 그대로 일 거예요
그녀도 날 못 잊을 거야 나는 믿어요
그만큼 사랑했죠
그래서 우린 한 번은 만나야만 해요
그녀의 친구라도 이 노랠 듣는다면
그녀에게 전해줘요
내가 아직 사랑한다고
우리가 처음 만난 그 시간 그 자리에
내가 매일 기다린다고
언제라도
그녀도 날 못 잊을 거야 나는 믿어요
그만큼 사랑했죠
그래서 우린 한 번은 만나야만 해요
그녀의 친구라도 이 노랠 듣는다면
그녀에게 전해줘요
내가 아직 사랑한다고
우리가 처음 만난 그 시간 그 자리에
내가 매일 기다린다고
그녀의 친구라도 이 노랠 듣는다면
그녀에게 전해줘요
내가 아직 사랑한다고
우리가 처음 만난 그 시간 그 자리에
내가 매일 기다린다고
내가 매일 기다린다고"
23	ELEVEN	IVE (아이브)	"따분한 나의 눈빛이
무표정했던 얼굴이
널 보며 빛나고 있어
널 담은 눈동자는 odd

내 안에 빼곡하게 피어나는 blue
내가 지금 느끼는 이 감정들은 true
내 입술을 간지럽힌 낯선 그 이름
난 몰랐어 내 맘이 이리 다채로운지

긴 꿈을 꾸게 해 이 방은 작은 heaven
춤을 추곤 해 실컷 어지러울 만큼
Oh my, oh my god
한 칸 더 채우고 있어
잘 봐 1, 2, 3, 4, 5, 6, 7
You make me feel like eleven

투명한 너와 나의 사이
가만히 들여다보다
일렁인 물결 속으로
더 빠져드는 걸

그날 향기로운 보랏빛의 mood
셀 수 없이 반복해도 기분 좋은 꿈
감히 누가 이렇게 날 설레게 할 줄
난 몰랐어 내 맘이 이리 다채로운지

긴 꿈을 꾸게 해 이 방은 작은 heaven
춤을 추곤 해 실컷 어지러울 만큼
Oh my, oh my god
한 칸 더 채우고 있어
잘 봐 1, 2, 3, 4, 5, 6, 7
You make me feel like eleven

내 앞에 있는 너를
그 눈에 비친 나를 (그 눈에 비친 나를)
Aya, aya, aya (가만히 바라봐)
내 앞에 있는 너를
그 눈에 비친 나를
가만히 바라봐

Don't say now
서둘러 오진 마
이 순간이 좋아 난
미처 몰랐어 내 맘이 이리 다채로운지

긴 꿈을 꾸게 해 이 방은 작은 heaven
춤을 추곤 해 실컷 어지러울 만큼
Oh my, oh my god
한 칸 더 채우고 있어
잘 봐 1, 2, 3, 4, 5, 6, 7
You make me feel like eleven

내 앞에 있는 너를
그 눈에 비친 나를
Aya, aya, aya
내 앞에 있는 너를
그 눈에 비친 나를
사랑하게 됐거든"
24	내 기쁨은 너가 벤틀리를 끄는 거야	김승민	"baby get the message
life is hard to maintain
your life is like a tape
가끔은 쉽게 발을 빼
분명 네 꿈 짓밟기 위해
신발을 사는 사람 있을 테니
취소가 불가능해 많은 사람들한테
네 말은 세상 비슷한 걸 테니까
참아야 해 아무 답이 없대
남겨지긴 싫고 떠나는 것도 두려워
사람은 잘만 왔다가 떠나는데
선택지가 있는데 안 좋은 결정했대
난 돈은 그럴 때 쓰려고 버는 건데
난 지켜야만 하는 게 너의 자존심인데
다 지키면서 살 수만은 없기에
답이 없네 아무 답이 없네
집에 오는 bus에서 아이처럼
밖을 쳐다보았겠지만
살짝 독해지는 걸 느껴 어른처럼
짐을 싸고 떠날 거야
even if I lose it all
Nike를 신고 멀어지는
거지 같은 거리에서
벌어지는 많은 일 괜찮냐 물었어
넌 oh 넌 아이처럼
maybe or not maybe or not
혼자 다 참아야만 했나 봐
멀어지는 거지 같은 거리에서
벌어지는 많은 일 괜찮냐 물었어
넌 oh 넌 아이처럼
maybe or not maybe or not
혼자 다 삼켜야만 했나 봐
넌 늘 아파하고 난 늘 도와주려고만 하지
구해달라 한적 한번 없이
혼자 붕대를 감지
난 네 등 뒤에 있어 또 등은 손 안 닿고
혼자 낑낑대는 너를 보면 장전된 총
얼굴에 대고 살아가는 것만 같아
넌 나무 위에 올라간
새끼 고양이 같은 거 아니라고
혼자 그냥 두라고 슬퍼하게 두라고
혼자 슬퍼해서 좋을 건 또 뭔데
monday to sunday one day to 평생
너가 white frappe나 마시며
수다나 떨길 바래
세월 가면 잊혀질
점수 따위에 연연하지 말고
너의 dice 낮게 나오면 나에게 말해
너의 하루가 매일 행복 일순 없겠지만
내 역할은 그 사실을 부정하는 것
널 다치게 한 하루를 용서하지도 말 것
물밀려 오듯 올 거야
위험은 pied piper
그 위험은 다 나의 것
넌 알아둬야 해 이걸
언젠간 나 역시도
무너져 버리고 말 거야
이 거지 같은 세상에서
혼자는 불가능하겠지만
그때 가선 너의 가족을 꾸리게 될 거야
너무 좋은 거래엔 항상 거짓이 섞여 있어
사람을 곁에 두되 너무 믿지 말 것
내가 너한테 그랬었던 것처럼 무조건
너의 아이들을 절대적으로 지킬 것"
25	도깨비불 (Illusion)	aespa	"You’re so yummy yummy yummy
In my tummy tummy tummy

Look at you 빨라지는 걸음걸이
Look at me 호기심을 자극하지
Look at them 알아챌 수 없는 거리
Baby don’t panic 한밤의 Party

차올라 달이 딱 좋은 Timing
이건 비밀이야 쉿 우리만의
한밤의 Party 널 끌어당김
어쩌니 내게 뺏겨버린 환심

몽롱한 기분이 좋은 Tonight
색다른 세계로 이끄는 Light

Follow me, Come and get illusion
한입에 삼켜 널 Delicious
아찔한 미끼로 Hook up
관심을 먹고 Growing up
Follow me, Come and get illusion
몸집을 불려가 Delicious
점점 더 커지는 Fire
관심을 먹고 Growing up

(Will o' the wisp)
겁내지 말고 이리 온
(Will o' the wisp)
겁내지 말고 이리 온

Easy peasy 너도 알다시피
When you dizzy 내겐 그저 Dish
도깨비불 너를 놀려 Boo
예상 못 한 순간 등장하지 불쑥

첨 보는 Style 멋모를 Timing
너의 약점에다 Hit! It’s so funny
한밤의 Party 널 끌어당김
알아도 막을 수 없는 반칙

낯선 이 기분이 묘한 Tonight
감춰둔 본능을 이끄는 Light

Follow me, Come and get illusion
한입에 삼켜 널 Delicious
아찔한 미끼로 Hook up
관심을 먹고 Growing up
Follow me, Come and get illusion
몸집을 불려가 Delicious
점점 더 커지는 Fire
관심을 먹고 Growing up
(Will o' the wisp)
겁내지 말고 이리 온
(Will o' the wisp)
겁내지 말고 이리 온

Yummy yummy yummy
In your tummy tummy tummy
놀란 너의 Face 나를 저격하는 Taste
멀리멀리 달아나도 소용없어 이미
Come get illusion
So fool

Follow me, Come and get illusion
유일한 목격자 You’re the one
방심한 틈을 타 Swallow
환상을 먹고 Growing up
Follow me, Come and get illusion
순진한 먹잇감 Delicious
단번에 노리는 Hunter
네 맘을 뺏어 Growing up

(Will o' the wisp)
겁내지 말고 이리 온
(Will o' the wisp)
겁내지 말고 이리 온"
26	FEARLESS	LE SSERAFIM (르세라핌)	"Bam ba ba ba ba bam ba ba ba ba bam
Ba ba ba ba bam
Bam ba ba ba ba bam ba ba ba ba bam
Ba ba ba ba bam

제일 높은 곳에 난 닿길 원해 느꼈어 내 answer
내 혈관 속에 날뛰는 new wave 내 거대한 passion
관심 없어 과거에 모두가 알고 있는 그 트러블에 huh
I'm fearless a new b**ch new crazy 올라가 next one

밟아줘 highway highway
멋진 결말에 닿게
내 흉짐도 나의 일부라면
겁이 난 없지 없지

What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
Mmmm I’m fearless huh

You should get away
Get a get a get away
다치지 않게 다치 다치지 않게
You should get away
Get a get a get away
Mmmm I’m fearless huh

Bam ba ba ba ba bam ba ba ba ba bam
Ba ba ba ba bam
Bam ba ba ba ba bam ba ba ba ba bam
Ba ba ba ba bam

욕심을 숨기라는 네 말들은 이상해
겸손한 연기 같은 건 더 이상 안 해
가져와 forever win 내게 ay
가슴팍에 숫자 1 내게 ay
내 밑으로 조아린 세계 ay
Take the world break it down break you down down

밟아줘 highway highway
멋진 결말에 닿게
내 흉짐도 나의 일부라면
겁이 난 없지 없지

What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
Mmmm I’m fearless huh

You should get away
Get a get a get away
다치지 않게 다치 다치지 않게
You should get away
Get a get a get away
Mmmm I’m fearless huh

Bam ba ba ba ba bam ba ba ba ba bam
Ba ba ba ba bam
Bam ba ba ba ba bam ba ba ba ba
Mmmm I’m fearless huh

더는 없어 패배
준비된 내 payback
Bring it 당장 내게
Mmmm I’m fearless huh

What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
Mmmm I’m fearless huh

You should get away
Get a get a get away
다치지 않게 다치 다치지 않게
You should get away
Get a get a get away
Mmmm I’m fearless huh"
